Pipeline,em,f1,sp_em,sp_f1,sp_prec,sp_recall,joint_em,joint_f1,RAGAS Faithfulness
SingleStageRAG_e5-base-v2_ChromaDB,0.43,0.5892,0.26,0.6118,0.7167,0.5628,0.16,0.4412,0.7569
MultiStageRAG_e5-base-v2_ChromaDB,0.46,0.6182,0.29,0.6362,0.74,0.5898,0.17,0.4621,0.6633
HybridRAG_e5-base-v2_ChromaDB,0.44,0.5816,0.25,0.6203,0.7258,0.5748,0.16,0.4298,0.6879
GraphRAG_e5-base-v2_ChromaDB,0.44,0.5942,0.27,0.6175,0.7233,0.569,0.14,0.4495,0.7017
MultiStageGraphRAG_e5-base-v2_ChromaDB,0.49,0.6402,0.28,0.6218,0.725,0.5715,0.16,0.4576,0.6867
SingleStageRAG_e5-base-v2_FAISS,0.42,0.5647,0.26,0.6161,0.7317,0.5645,0.18,0.4374,0.7071
MultiStageRAG_e5-base-v2_FAISS,0.43,0.5702,0.28,0.6101,0.7167,0.5615,0.18,0.4325,0.6933
HybridRAG_e5-base-v2_FAISS,0.44,0.581,0.25,0.6117,0.7142,0.5665,0.16,0.431,0.6801
GraphRAG_e5-base-v2_FAISS,0.46,0.5974,0.28,0.6173,0.7233,0.5682,0.16,0.4479,0.7058
MultiStageGraphRAG_e5-base-v2_FAISS,0.46,0.6022,0.28,0.6326,0.7408,0.5815,0.16,0.4433,0.6953
SingleStageRAG_e5-base-v2_LanceDB,0.4,0.56,0.26,0.6227,0.735,0.5712,0.17,0.4335,0.7293
MultiStageRAG_e5-base-v2_LanceDB,0.42,0.5717,0.27,0.6236,0.7267,0.5782,0.16,0.4435,0.7128
HybridRAG_e5-base-v2_LanceDB,0.43,0.5643,0.25,0.6157,0.72,0.569,0.16,0.4247,0.6953
GraphRAG_e5-base-v2_LanceDB,0.44,0.5825,0.28,0.6078,0.7133,0.5607,0.16,0.449,0.7008
MultiStageGraphRAG_e5-base-v2_LanceDB,0.45,0.6152,0.28,0.6368,0.73,0.5932,0.15,0.4541,0.7028
SingleStageRAG_e5-base-v2_Pinecone,0.42,0.5702,0.27,0.6159,0.7192,0.5703,0.18,0.4396,0.724
MultiStageRAG_e5-base-v2_Pinecone,0.45,0.6231,0.27,0.6337,0.735,0.5898,0.15,0.4652,0.6976
HybridRAG_e5-base-v2_Pinecone,0.26,0.3377,0.05,0.3235,0.4225,0.2815,0.04,0.1809,0.4805
GraphRAG_e5-base-v2_Pinecone,0.38,0.5077,0.11,0.4356,0.505,0.409,0.04,0.3012,0.6008
MultiStageGraphRAG_e5-base-v2_Pinecone,0.37,0.5364,0.21,0.5156,0.6092,0.474,0.07,0.3452,0.6592
